اسم الشركة,نوع الشركة,القطاع,رقم السجل التجاري,العنوان,المدينة,المنطقة,رقم الهاتف,البريد الإلكتروني,خط العرض,خط الطول,رقم الفاتورة,تاريخ الفاتورة,تاريخ الاستحقاق,نوع الفاتورة,المبلغ (ر.ق),الضريبة (5%),المبلغ الإجمالي (ر.ق),حالة الدفع,طريقة الدفع,تقييم مخاطر الفاتورة,فجوة الإيرادات/الضريبة المحتملة (ر.ق)
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1375,2024-09-13,2025-05-26,فاتورة أجور,42563.6,2128.18,44691.78,مدفوعة,نقداً,منخفض,0.0
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1376,2024-11-03,2025-06-11,فاتورة تدريب,21273.94,1063.7,22337.64,متأخرة,شيك,مرتفع,1063.7
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1377,2024-11-03,2025-07-04,فاتورة تسويق رقمي,29318.72,1465.94,30784.66,غير مدفوعة,بطاقة,متوسط,1465.94
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1378,2024-10-26,2025-05-10,فاتورة استشارة,32453.48,1622.67,34076.15,متأخرة,شيك,مرتفع,1622.67
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1379,2025-03-31,2025-06-24,فاتورة اتصالات,4468.88,223.44,4692.32,مدفوعة,شيك,منخفض,0.0
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1380,2025-04-15,2025-07-01,فاتورة تطوير ويب,27566.99,1378.35,28945.34,متأخرة,تحويل بنكي,مرتفع,1378.35
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1381,2025-02-24,2025-05-18,فاتورة شحن,37532.99,1876.65,39409.64,مدفوعة,بطاقة,منخفض,0.0
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1382,2024-09-08,2025-05-27,فاتورة مشتريات,24385.15,1219.26,25604.41,متأخرة,نقداً,مرتفع,1219.26
"Lewis, Woods and Jackson",شركة تضامنية,التجارة,40461691,"26352 Sara Fields
Dannyfort, VT 28335",أم صلال,المنطقة 23,(807)304-0310x0352,martinalicia@example.org,24.556616,51.624736,INV-1383,2024-10-14,2025-07-04,فاتورة رسوم حكومية,38398.63,1919.93,40318.56,مدفوعة,شيك,منخفض,0.0
"Davis, Gray and Rubio",شركة تضامنية,الصناعة,81818401,"940 Garza Lake
Lake Jeffreybury, KS 18744",الخور,المنطقة 23,7342933151,kyle67@example.com,25.579157,51.672246,INV-1384,2024-07-26,2025-06-28,فاتورة كهرباء,34666.44,1733.32,36399.76,مدفوعة,تحويل بنكي,منخفض,0.0
"Ramirez, Cruz and Owens",ذ.م.م,المقاولات,46891650,"13614 Amanda Harbor
Sandraborough, GU 81176",الظعاين,المنطقة 75,(281)826-8442x31464,timothy94@example.org,25.354672,51.622657,INV-1385,2024-05-13,2025-05-26,فاتورة مبيعات,26282.48,1314.12,27596.6,مدفوعة,نقداً,منخفض,0.0
"Ramirez, Cruz and Owens",ذ.م.م,المقاولات,46891650,"13614 Amanda Harbor
Sandraborough, GU 81176",الظعاين,المنطقة 75,(281)826-8442x31464,timothy94@example.org,25.354672,51.622657,INV-1386,2025-03-23,2025-05-29,فاتورة تسويق رقمي,4255.59,212.78,4468.37,مدفوعة,شيك,منخفض,0.0
"Ramirez, Cruz and Owens",ذ.م.م,المقاولات,46891650,"13614 Amanda Harbor
Sandraborough, GU 81176",الظعاين,المنطقة 75,(281)826-8442x31464,timothy94@example.org,25.354672,51.622657,INV-1387,2024-12-03,2025-06-06,فاتورة مبيعات,7616.2,380.81,7997.01,غير مدفوعة,بطاقة,متوسط,380.81
"Ramirez, Cruz and Owens",ذ.م.م,المقاولات,46891650,"13614 Amanda Harbor
Sandraborough, GU 81176",الظعاين,المنطقة 75,(281)826-8442x31464,timothy94@example.org,25.354672,51.622657,INV-1388,2025-02-16,2025-05-24,فاتورة ضريبة,33641.96,1682.1,35324.06,متأخرة,شيك,مرتفع,1682.1
"Ramirez, Cruz and Owens",ذ.م.م,المقاولات,46891650,"13614 Amanda Harbor
Sandraborough, GU 81176",الظعاين,المنطقة 75,(281)826-8442x31464,timothy94@example.org,25.354672,51.622657,INV-1389,2025-02-25,2025-06-13,فاتورة مشتريات,21333.34,1066.67,22400.01,متأخرة,بطاقة,مرتفع,1066.67
"Ramirez, Cruz and Owens",ذ.م.م,المقاولات,46891650,"13614 Amanda Harbor
Sandraborough, GU 81176",الظعاين,المنطقة 75,(281)826-8442x31464,timothy94@example.org,25.354672,51.622657,INV-1390,2024-10-30,2025-05-22,فاتورة تصميم,31996.3,1599.82,33596.12,مدفوعة,نقداً,منخفض,0.0
Chambers LLC,مساهمة,الخدمات,91115233,"52486 Chaney Mission Apt. 567
New Madisonfort, MT 19420",الدوحة,المنطقة 23,905-290-2235x0298,henrycristina@example.org,24.995553,51.070284,INV-1391,2024-08-16,2025-06-06,فاتورة استشارة,32791.68,1639.58,34431.26,مدفوعة,تحويل بنكي,منخفض,0.0
Chambers LLC,مساهمة,الخدمات,91115233,"52486 Chaney Mission Apt. 567
New Madisonfort, MT 19420",الدوحة,المنطقة 23,905-290-2235x0298,henrycristina@example.org,24.995553,51.070284,INV-1392,2024-09-05,2025-06-23,فاتورة مشتريات,39552.72,1977.64,41530.36,متأخرة,بطاقة,مرتفع,1977.64
Massey-Gonzalez,فردية,التجارة,76127723,"USS Weiss
FPO AP 31466",الريان,المنطقة 68,445.216.0567x89950,lthompson@example.com,25.664012,51.232409,INV-1393,2024-05-19,2025-06-24,فاتورة تصميم,46066.26,2303.31,48369.57,غير مدفوعة,شيك,متوسط,2303.31
Massey-Gonzalez,فردية,التجارة,76127723,"USS Weiss
FPO AP 31466",الريان,المنطقة 68,445.216.0567x89950,lthompson@example.com,25.664012,51.232409,INV-1394,2024-08-01,2025-05-25,فاتورة مياه,19858.26,992.91,20851.17,مدفوعة,نقداً,منخفض,0.0
Massey-Gonzalez,فردية,التجارة,76127723,"USS Weiss
FPO AP 31466",الريان,المنطقة 68,445.216.0567x89950,lthompson@example.com,25.664012,51.232409,INV-1395,2024-10-24,2025-06-29,فاتورة شحن,20196.14,1009.81,21205.95,متأخرة,تحويل بنكي,مرتفع,1009.81
Massey-Gonzalez,فردية,التجارة,76127723,"USS Weiss
FPO AP 31466",الريان,المنطقة 68,445.216.0567x89950,lthompson@example.com,25.664012,51.232409,INV-1396,2025-02-16,2025-06-26,فاتورة مياه,41902.45,2095.12,43997.57,مدفوعة,تحويل بنكي,منخفض,0.0
Sullivan-Eaton,ذ.م.م,الخدمات,88032027,"165 Leblanc Forge Suite 856
Lake Nicolemouth, NC 70099",الريان,المنطقة 75,869.496.5162x1494,ophillips@example.net,24.653635,51.634329,INV-1397,2024-08-10,2025-06-12,فاتورة تدريب,43714.48,2185.72,45900.2,متأخرة,شيك,مرتفع,2185.72
Sullivan-Eaton,ذ.م.م,الخدمات,88032027,"165 Leblanc Forge Suite 856
Lake Nicolemouth, NC 70099",الريان,المنطقة 75,869.496.5162x1494,ophillips@example.net,24.653635,51.634329,INV-1398,2025-03-19,2025-07-06,فاتورة تسويق رقمي,46290.17,2314.51,48604.68,متأخرة,نقداً,مرتفع,2314.51
Sullivan-Eaton,ذ.م.م,الخدمات,88032027,"165 Leblanc Forge Suite 856
Lake Nicolemouth, NC 70099",الريان,المنطقة 75,869.496.5162x1494,ophillips@example.net,24.653635,51.634329,INV-1399,2024-11-10,2025-06-15,فاتورة تسويق رقمي,29154.17,1457.71,30611.88,غير مدفوعة,شيك,متوسط,1457.71
Sullivan-Eaton,ذ.م.م,الخدمات,88032027,"165 Leblanc Forge Suite 856
Lake Nicolemouth, NC 70099",الريان,المنطقة 75,869.496.5162x1494,ophillips@example.net,24.653635,51.634329,INV-1400,2024-12-26,2025-05-09,فاتورة شحن,37826.0,1891.3,39717.3,مدفوعة,بطاقة,منخفض,0.0
Sullivan-Eaton,ذ.م.م,الخدمات,88032027,"165 Leblanc Forge Suite 856
Lake Nicolemouth, NC 70099",الريان,المنطقة 75,869.496.5162x1494,ophillips@example.net,24.653635,51.634329,INV-1401,2024-10-15,2025-06-26,فاتورة تطوير ويب,27235.71,1361.79,28597.5,غير مدفوعة,نقداً,متوسط,1361.79
Taylor Ltd,فردية,النقل,63082570,"1934 Barbara Alley
Lake Joshua, AZ 03742",الوكرة,المنطقة 91,634.593.2414,anthonymendez@example.org,24.93564,51.591354,INV-1402,2024-07-01,2025-05-20,فاتورة مياه,49637.48,2481.87,52119.35,غير مدفوعة,نقداً,متوسط,2481.87
Taylor Ltd,فردية,النقل,63082570,"1934 Barbara Alley
Lake Joshua, AZ 03742",الوكرة,المنطقة 91,634.593.2414,anthonymendez@example.org,24.93564,51.591354,INV-1403,2024-09-10,2025-06-30,فاتورة رسوم حكومية,35856.53,1792.83,37649.36,متأخرة,تحويل بنكي,مرتفع,1792.83
Day Group,ذ.م.م,التجارة,314575,"8447 Jacqueline Summit
Nicolemouth, ID 26592",الظعاين,المنطقة 36,711.233.0530,cochranshari@example.com,25.14691,51.41211,INV-1404,2025-04-12,2025-06-19,فاتورة اشتراك سنوي,24860.13,1243.01,26103.14,متأخرة,شيك,مرتفع,1243.01
Day Group,ذ.م.م,التجارة,314575,"8447 Jacqueline Summit
Nicolemouth, ID 26592",الظعاين,المنطقة 36,711.233.0530,cochranshari@example.com,25.14691,51.41211,INV-1405,2025-03-30,2025-06-29,فاتورة كهرباء,25228.25,1261.41,26489.66,متأخرة,بطاقة,مرتفع,1261.41
Day Group,ذ.م.م,التجارة,314575,"8447 Jacqueline Summit
Nicolemouth, ID 26592",الظعاين,المنطقة 36,711.233.0530,cochranshari@example.com,25.14691,51.41211,INV-1406,2025-03-04,2025-06-30,فاتورة كهرباء,17921.78,896.09,18817.87,مدفوعة,بطاقة,منخفض,0.0
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1407,2024-12-06,2025-05-31,فاتورة تأجير,21014.17,1050.71,22064.88,متأخرة,بطاقة,مرتفع,1050.71
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1408,2025-04-19,2025-06-05,فاتورة كهرباء,12940.56,647.03,13587.59,مدفوعة,نقداً,منخفض,0.0
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1409,2025-04-25,2025-05-21,فاتورة صيانة,37179.57,1858.98,39038.55,متأخرة,شيك,مرتفع,1858.98
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1410,2024-12-01,2025-07-03,فاتورة استشارة,37099.54,1854.98,38954.52,غير مدفوعة,بطاقة,متوسط,1854.98
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1411,2025-03-17,2025-05-20,فاتورة تأجير,38217.47,1910.87,40128.34,مدفوعة,بطاقة,منخفض,0.0
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1412,2025-04-17,2025-07-01,فاتورة أجور,26068.77,1303.44,27372.21,متأخرة,تحويل بنكي,مرتفع,1303.44
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1413,2025-04-24,2025-05-13,فاتورة تسويق رقمي,7088.18,354.41,7442.59,متأخرة,بطاقة,مرتفع,354.41
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1414,2025-03-04,2025-06-18,فاتورة مياه,10779.22,538.96,11318.18,متأخرة,بطاقة,مرتفع,538.96
Chapman-Hamilton,شركة تضامنية,المقاولات,39660830,"364 Russell Lodge Apt. 503
Lake Katherineview, VI 43644",الخور,المنطقة 68,397.876.8063x4660,michael62@example.net,24.893518,51.162601,INV-1415,2025-02-07,2025-06-06,فاتورة اشتراك سنوي,3316.97,165.85,3482.82,متأخرة,بطاقة,مرتفع,165.85
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1416,2025-01-13,2025-06-26,فاتورة تسويق رقمي,36140.15,1807.01,37947.16,مدفوعة,شيك,منخفض,0.0
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1417,2024-08-25,2025-06-23,فاتورة استشارة,39768.13,1988.41,41756.54,مدفوعة,بطاقة,منخفض,0.0
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1418,2025-03-30,2025-06-25,فاتورة مبيعات,33313.32,1665.67,34978.99,متأخرة,تحويل بنكي,مرتفع,1665.67
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1419,2025-04-14,2025-06-25,فاتورة ضريبة,33576.06,1678.8,35254.86,مدفوعة,شيك,منخفض,0.0
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1420,2024-11-09,2025-05-23,فاتورة تسويق رقمي,5742.07,287.1,6029.17,متأخرة,شيك,مرتفع,287.1
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1421,2024-12-06,2025-06-27,فاتورة ضريبة,7832.72,391.64,8224.36,مدفوعة,نقداً,منخفض,0.0
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1422,2024-06-30,2025-06-30,فاتورة صيانة,38049.56,1902.48,39952.04,مدفوعة,نقداً,منخفض,0.0
Jackson-Cross,شركة تضامنية,النقل,3366940,"967 Jesus Pines Suite 386
New Danaview, VI 93293",الظعاين,المنطقة 23,907-599-8162,amber92@example.com,24.776948,51.570417,INV-1423,2024-12-21,2025-06-25,فاتورة تسويق رقمي,45931.37,2296.57,48227.94,غير مدفوعة,شيك,متوسط,2296.57
Jones Inc,فردية,التجارة,43604236,"212 Harrison Village
Burchfort, CO 24260",الريان,المنطقة 36,337-834-2840,curtisanderson@example.org,25.20839,50.786073,INV-1424,2025-03-17,2025-05-31,فاتورة تطوير ويب,10824.75,541.24,11365.99,متأخرة,تحويل بنكي,مرتفع,541.24
Jones Inc,فردية,التجارة,43604236,"212 Harrison Village
Burchfort, CO 24260",الريان,المنطقة 36,337-834-2840,curtisanderson@example.org,25.20839,50.786073,INV-1425,2024-07-19,2025-07-01,فاتورة تطوير ويب,25991.17,1299.56,27290.73,غير مدفوعة,شيك,متوسط,1299.56
Jones Inc,فردية,التجارة,43604236,"212 Harrison Village
Burchfort, CO 24260",الريان,المنطقة 36,337-834-2840,curtisanderson@example.org,25.20839,50.786073,INV-1426,2025-01-25,2025-05-11,فاتورة ضريبة,26766.63,1338.33,28104.96,مدفوعة,تحويل بنكي,منخفض,0.0
Jones Inc,فردية,التجارة,43604236,"212 Harrison Village
Burchfort, CO 24260",الريان,المنطقة 36,337-834-2840,curtisanderson@example.org,25.20839,50.786073,INV-1427,2024-07-23,2025-06-08,فاتورة برمجيات,14583.47,729.17,15312.64,غير مدفوعة,شيك,متوسط,729.17
Jones Inc,فردية,التجارة,43604236,"212 Harrison Village
Burchfort, CO 24260",الريان,المنطقة 36,337-834-2840,curtisanderson@example.org,25.20839,50.786073,INV-1428,2024-09-29,2025-06-27,فاتورة رسوم حكومية,27150.75,1357.54,28508.29,غير مدفوعة,بطاقة,متوسط,1357.54
Jones Inc,فردية,التجارة,43604236,"212 Harrison Village
Burchfort, CO 24260",الريان,المنطقة 36,337-834-2840,curtisanderson@example.org,25.20839,50.786073,INV-1429,2024-12-05,2025-06-28,فاتورة مبيعات,35962.55,1798.13,37760.68,متأخرة,تحويل بنكي,مرتفع,1798.13
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1430,2024-05-14,2025-06-17,فاتورة برمجيات,13371.61,668.58,14040.19,متأخرة,نقداً,مرتفع,668.58
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1431,2024-08-15,2025-05-29,فاتورة صيانة,48041.94,2402.1,50444.04,متأخرة,تحويل بنكي,مرتفع,2402.1
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1432,2024-08-24,2025-06-22,فاتورة تطوير ويب,11310.78,565.54,11876.32,مدفوعة,بطاقة,منخفض,0.0
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1433,2024-09-22,2025-05-20,فاتورة برمجيات,14557.34,727.87,15285.21,غير مدفوعة,تحويل بنكي,متوسط,727.87
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1434,2024-10-21,2025-05-29,فاتورة استشارة,32808.24,1640.41,34448.65,غير مدفوعة,شيك,متوسط,1640.41
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1435,2024-05-29,2025-06-19,فاتورة استشارة,29843.25,1492.16,31335.41,مدفوعة,نقداً,منخفض,0.0
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1436,2024-09-11,2025-05-08,فاتورة تسويق رقمي,21492.2,1074.61,22566.81,غير مدفوعة,تحويل بنكي,متوسط,1074.61
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1437,2024-11-04,2025-06-17,فاتورة استشارة,23654.68,1182.73,24837.41,مدفوعة,بطاقة,منخفض,0.0
"Jones, Ramirez and Frank",شركة تضامنية,النقل,1360260,"73522 Mayo Loaf Apt. 695
Josephborough, LA 29100",الريان,المنطقة 36,(583)439-7837,robinking@example.net,24.585396,51.750239,INV-1438,2025-04-10,2025-05-30,فاتورة رسوم حكومية,12104.78,605.24,12710.02,غير مدفوعة,تحويل بنكي,متوسط,605.24
Lyons Ltd,ذ.م.م,النقل,28582034,"3851 Bennett Pines Apt. 781
South Courtneybury, MS 31147",أم صلال,المنطقة 68,321.611.5742x3146,vwilliams@example.org,24.873228,50.980701,INV-1439,2024-05-27,2025-05-11,فاتورة برمجيات,44521.7,2226.09,46747.79,مدفوعة,بطاقة,منخفض,0.0
Lyons Ltd,ذ.م.م,النقل,28582034,"3851 Bennett Pines Apt. 781
South Courtneybury, MS 31147",أم صلال,المنطقة 68,321.611.5742x3146,vwilliams@example.org,24.873228,50.980701,INV-1440,2024-11-12,2025-06-04,فاتورة شحن,22159.7,1107.99,23267.69,غير مدفوعة,تحويل بنكي,متوسط,1107.99
Lyons Ltd,ذ.م.م,النقل,28582034,"3851 Bennett Pines Apt. 781
South Courtneybury, MS 31147",أم صلال,المنطقة 68,321.611.5742x3146,vwilliams@example.org,24.873228,50.980701,INV-1441,2025-03-31,2025-05-12,فاتورة استشارة,39585.57,1979.28,41564.85,مدفوعة,شيك,منخفض,0.0
Lyons Ltd,ذ.م.م,النقل,28582034,"3851 Bennett Pines Apt. 781
South Courtneybury, MS 31147",أم صلال,المنطقة 68,321.611.5742x3146,vwilliams@example.org,24.873228,50.980701,INV-1442,2024-11-25,2025-05-25,فاتورة تصميم,49360.55,2468.03,51828.58,غير مدفوعة,نقداً,متوسط,2468.03
Lyons Ltd,ذ.م.م,النقل,28582034,"3851 Bennett Pines Apt. 781
South Courtneybury, MS 31147",أم صلال,المنطقة 68,321.611.5742x3146,vwilliams@example.org,24.873228,50.980701,INV-1443,2024-08-26,2025-06-25,فاتورة أجور,30701.8,1535.09,32236.89,مدفوعة,شيك,منخفض,0.0
Lyons Ltd,ذ.م.م,النقل,28582034,"3851 Bennett Pines Apt. 781
South Courtneybury, MS 31147",أم صلال,المنطقة 68,321.611.5742x3146,vwilliams@example.org,24.873228,50.980701,INV-1444,2024-09-24,2025-07-01,فاتورة تدريب,33103.25,1655.16,34758.41,متأخرة,شيك,مرتفع,1655.16
Ramos Group,فردية,النقل,15238537,"USNV Ewing
FPO AE 48253",أم صلال,المنطقة 36,+1-685-843-8382x763,christophercollins@example.net,25.32936,50.942976,INV-1445,2025-02-25,2025-05-13,فاتورة استشارة,33436.98,1671.85,35108.83,غير مدفوعة,نقداً,متوسط,1671.85
Ramos Group,فردية,النقل,15238537,"USNV Ewing
FPO AE 48253",أم صلال,المنطقة 36,+1-685-843-8382x763,christophercollins@example.net,25.32936,50.942976,INV-1446,2025-04-07,2025-07-02,فاتورة اشتراك سنوي,33251.84,1662.59,34914.43,غير مدفوعة,تحويل بنكي,متوسط,1662.59
Ramos Group,فردية,النقل,15238537,"USNV Ewing
FPO AE 48253",أم صلال,المنطقة 36,+1-685-843-8382x763,christophercollins@example.net,25.32936,50.942976,INV-1447,2024-10-24,2025-07-05,فاتورة مياه,21074.9,1053.75,22128.65,غير مدفوعة,شيك,متوسط,1053.75
Ramos Group,فردية,النقل,15238537,"USNV Ewing
FPO AE 48253",أم صلال,المنطقة 36,+1-685-843-8382x763,christophercollins@example.net,25.32936,50.942976,INV-1448,2025-03-02,2025-06-02,فاتورة صيانة,21785.72,1089.29,22875.01,غير مدفوعة,شيك,متوسط,1089.29
Ramos Group,فردية,النقل,15238537,"USNV Ewing
FPO AE 48253",أم صلال,المنطقة 36,+1-685-843-8382x763,christophercollins@example.net,25.32936,50.942976,INV-1449,2025-01-31,2025-06-28,فاتورة تأجير,3349.44,167.47,3516.91,مدفوعة,نقداً,منخفض,0.0
Ramos Group,فردية,النقل,15238537,"USNV Ewing
FPO AE 48253",أم صلال,المنطقة 36,+1-685-843-8382x763,christophercollins@example.net,25.32936,50.942976,INV-1450,2025-04-06,2025-06-18,فاتورة برمجيات,31729.72,1586.49,33316.21,غير مدفوعة,تحويل بنكي,متوسط,1586.49
Ramos Group,فردية,النقل,15238537,"USNV Ewing
FPO AE 48253",أم صلال,المنطقة 36,+1-685-843-8382x763,christophercollins@example.net,25.32936,50.942976,INV-1451,2024-08-12,2025-05-26,فاتورة تطوير ويب,11084.08,554.2,11638.28,مدفوعة,تحويل بنكي,منخفض,0.0
Thompson Ltd,مساهمة,المقاولات,32481188,"72281 Cook Isle
Michellebury, AL 91538",الوكرة,المنطقة 91,(278)618-2533x90205,cruzjoshua@example.com,25.683907,50.955945,INV-1452,2025-01-27,2025-05-24,فاتورة رسوم حكومية,32929.53,1646.48,34576.01,متأخرة,شيك,مرتفع,1646.48
Thompson Ltd,مساهمة,المقاولات,32481188,"72281 Cook Isle
Michellebury, AL 91538",الوكرة,المنطقة 91,(278)618-2533x90205,cruzjoshua@example.com,25.683907,50.955945,INV-1453,2024-06-24,2025-06-01,فاتورة كهرباء,37407.04,1870.35,39277.39,متأخرة,شيك,مرتفع,1870.35
Thompson Ltd,مساهمة,المقاولات,32481188,"72281 Cook Isle
Michellebury, AL 91538",الوكرة,المنطقة 91,(278)618-2533x90205,cruzjoshua@example.com,25.683907,50.955945,INV-1454,2024-05-08,2025-05-14,فاتورة خدمات,37484.46,1874.22,39358.68,غير مدفوعة,بطاقة,متوسط,1874.22
Thompson Ltd,مساهمة,المقاولات,32481188,"72281 Cook Isle
Michellebury, AL 91538",الوكرة,المنطقة 91,(278)618-2533x90205,cruzjoshua@example.com,25.683907,50.955945,INV-1455,2024-08-31,2025-06-10,فاتورة شحن,36196.88,1809.84,38006.72,متأخرة,تحويل بنكي,مرتفع,1809.84
Thompson Ltd,مساهمة,المقاولات,32481188,"72281 Cook Isle
Michellebury, AL 91538",الوكرة,المنطقة 91,(278)618-2533x90205,cruzjoshua@example.com,25.683907,50.955945,INV-1456,2025-02-06,2025-05-18,فاتورة برمجيات,47649.4,2382.47,50031.87,متأخرة,بطاقة,مرتفع,2382.47
Thompson Ltd,مساهمة,المقاولات,32481188,"72281 Cook Isle
Michellebury, AL 91538",الوكرة,المنطقة 91,(278)618-2533x90205,cruzjoshua@example.com,25.683907,50.955945,INV-1457,2025-02-22,2025-05-18,فاتورة اتصالات,17864.35,893.22,18757.57,غير مدفوعة,بطاقة,متوسط,893.22
